"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-2.7021649773587,7.47187469651095,-12.0938236847727,7.99560453393228e-23,1.59968059910383e-20,41.3339637555546,"RUSC2","9853","RUN and SH3 domain containing 2","Down"
-2.50486863381288,2.75498474974047,-12.0876050540173,8.28069973011116e-23,1.64031643069638e-20,41.2993816690988,"KRTAP5-AS1","338651","KRTAP5-1/KRTAP5-2 antisense RNA 1","Down"
-5.02086581606955,5.03976404163243,-12.0710242195286,9.0915996472299e-23,1.76942858543852e-20,41.2071671657257,"PNMAL2","57469","paraneoplastic Ma antigen family-like 2","Down"
-2.83059485263441,9.19023312853018,-12.0706776980232,9.10936893588084e-23,1.76942858543852e-20,41.2052398631504,"GOT1","2805","glutamic-oxaloacetic transaminase 1","Down"
-7.3082779877082,5.33526144726178,-12.0652076734681,9.39451823064307e-23,1.80727044461996e-20,41.1748157340785,"RAB3C","115827","RAB3C, member RAS oncogene family","Down"
-4.87627617329093,3.3687081861697,-12.0424822459005,1.06780904937295e-22,2.03463387150519e-20,41.0484046905379,"LINC00889","158696","long intergenic non-protein coding RNA 889","Down"
-6.01262544567073,4.37075227997994,-12.0373436131202,1.09918629166674e-22,2.06240574278191e-20,41.0198180146466,"SNCB","6620","synuclein beta","Down"
5.82575132337953,7.11329701407858,12.0359809876311,1.1076604358717e-22,2.06240574278191e-20,41.0122374325508,"KIF4A","24137","kinesin family member 4A","Up"
3.93315611173639,8.12162215055095,12.0350784243032,1.11330944279725e-22,2.06240574278191e-20,41.0072162362848,"RAD51AP1","10635","RAD51 associated protein 1","Up"
-2.23790716164744,2.34645811567929,-12.0063397068568,1.30908603617065e-22,2.40283342437304e-20,40.847318679767,"RFPL2","10739","ret finger protein like 2","Down"
5.19470659118359,8.43728288300515,11.9941401218719,1.40228683520217e-22,2.55050479198998e-20,40.7794325974278,"MCM2","4171","minichromosome maintenance complex component 2","Up"
5.09115999993961,10.4051296428577,11.9656290982575,1.64683751334634e-22,2.96831334500182e-20,40.6207577591659,"TYMS","7298","thymidylate synthetase","Up"
3.36815110213575,7.87385146673515,11.9593370841106,1.70631620830605e-22,3.04805967674813e-20,40.5857362315918,"CHST14","113189","carbohydrate sulfotransferase 14","Up"
-2.32063010724302,9.22889602174325,-11.9528136649734,1.77025420268268e-22,3.13428989673207e-20,40.5494251748489,"HECTD4","283450","HECT domain E3 ubiquitin protein ligase 4","Down"
4.86340710568998,9.46856147852089,11.9457271167885,1.8424326870509e-22,3.23346936577433e-20,40.5099778498466,"F2R","2149","coagulation factor II thrombin receptor","Up"
-2.99113803198944,2.56528998149775,-11.9431106468057,1.86982062349175e-22,3.25300010558256e-20,40.495412792816,"ABCG4","64137","ATP binding cassette subfamily G member 4","Down"
-4.08943364151763,5.35293326036533,-11.9311039882246,2.00082114809876e-22,3.45089902672516e-20,40.428572404207,"LOC283713","283713","uncharacterized LOC283713","Down"
-5.65416206359607,4.85980442933195,-11.9264457731759,2.05408490044805e-22,3.51248517976617e-20,40.4026390076914,"OLFM3","118427","olfactomedin 3","Down"
-5.36240508049824,4.90162963055645,-11.9104363953611,2.24820162663038e-22,3.81184491050797e-20,40.3135051722917,"STX1A","6804","syntaxin 1A","Down"
-3.18524371376998,2.79976435783136,-11.8933906464735,2.47511310055621e-22,4.16130989939732e-20,40.2185914855769,"RAB40B","10966","RAB40B, member RAS oncogene family","Down"
-3.46233145707619,6.01414490169604,-11.8801635571781,2.66687451910184e-22,4.44634654197255e-20,40.1449339437781,"SCN1B","6324","sodium voltage-gated channel beta subunit 1","Down"
-2.16834139880975,12.0446642145101,-11.8533832521733,3.10187580754342e-22,5.12886192409266e-20,39.995784912392,"OIP5-AS1","729082","OIP5 antisense RNA 1","Down"
-3.76458574773279,4.12840864997787,-11.8190922795415,3.76413225141864e-22,6.17286835689613e-20,39.8047723892872,"SYT3","84258","synaptotagmin 3","Down"
-6.88215486976034,5.19425621766692,-11.8088746607038,3.98757957692547e-22,6.48613858500389e-20,39.7478495743058,"CACNA1B","774","calcium voltage-gated channel subunit alpha1 B","Down"
2.50938513427904,11.7265040863599,11.7880222701469,4.48564745875196e-22,7.23744747639117e-20,39.6316700350586,"PRDX4","10549","peroxiredoxin 4","Up"
-2.66525890326833,6.03458469773278,-11.7809133785356,4.66930853464947e-22,7.47350846821856e-20,39.5920596950152,"IQSEC2","23096","IQ motif and Sec7 domain 2","Down"
-5.90772361289031,3.25452816713609,-11.7711197224361,4.93472287244151e-22,7.83563496102677e-20,39.5374875426366,"CACNG3","10368","calcium voltage-gated channel auxiliary subunit gamma 3","Down"
1.39423789853633,12.9697152529922,11.7566238635343,5.35553867562648e-22,8.4368710459259e-20,39.4567086484224,"CBX3","11335","chromobox 3","Up"
-3.07911669369908,3.69916700071811,-11.7433308526788,5.77293635379884e-22,9.02337012737917e-20,39.3826273657255,"CARTPT","9607","CART prepropeptide","Down"
5.9792802173988,8.62613859295911,11.7338084481958,6.09181118043818e-22,9.44797413077726e-20,39.3295564073675,"UBE2C","11065","ubiquitin conjugating enzyme E2 C","Up"
-2.89878710217583,3.15599214273266,-11.7220398676766,6.51036615503226e-22,1.00194535125946e-19,39.2639634060162,"SYT5","6861","synaptotagmin 5","Down"
-3.88466683419273,3.99047266657272,-11.715714522066,6.74710005127894e-22,1.03045214294609e-19,39.2287070786671,"LINC01123","440894","long intergenic non-protein coding RNA 1123","Down"
-2.319720449318,2.37964219699598,-11.7123315865933,6.87722710779232e-22,1.04236880867879e-19,39.2098507638246,"INPP5J","27124","inositol polyphosphate-5-phosphatase J","Down"
3.8820427938273,8.01364094823858,11.7096089328558,6.98377797790326e-22,1.0505597443903e-19,39.194674601748,"MCM5","4174","minichromosome maintenance complex component 5","Up"
-3.72820579766951,8.55902633954734,-11.6726857732324,8.60299261967466e-22,1.2844781592674e-19,38.9888442931008,"SYNGR1","9145","synaptogyrin 1","Down"
-4.03702819041135,5.29889541683917,-11.669595490857,8.75446466407052e-22,1.29741166321525e-19,38.9716157301378,"ABLIM2","84448","actin binding LIM protein family member 2","Down"
4.15407314335773,6.77859331628444,11.6588750492228,9.30092630684349e-22,1.36826200456631e-19,38.9118465696006,"RNASEH2A","10535","ribonuclease H2 subunit A","Up"
-5.30595610681255,5.50750004160805,-11.6458567292421,1.00106219188648e-21,1.46191615131919e-19,38.839262310085,"KIAA0319","9856","KIAA0319","Down"
-1.62247593053937,9.52751261211243,-11.6318886337159,1.08324776026586e-21,1.57047376374196e-19,38.7613779321057,"PIN1","5300","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","Down"
-3.89588060331312,4.36368208696621,-11.6013712481672,1.28706522960926e-21,1.85254057904982e-19,38.5912007095015,"PANX2","56666","pannexin 2","Down"
1.47459226990661,11.4239690067714,11.5998930462255,1.29785891966565e-21,1.85473310041077e-19,38.5829571162549,"FAM96A","84191","family with sequence similarity 96 member A","Up"
-3.74953380106375,8.0616857038397,-11.5795642982311,1.45582257180399e-21,2.06571930454485e-19,38.4695834046471,"NCDN","23154","neurochondrin","Down"
5.82052036676975,8.50234589957846,11.5674931014554,1.55858185997569e-21,2.1824957158132e-19,38.4022578979211,"CENPU","79682","centromere protein U","Up"
-4.27496633885797,2.84537164994485,-11.5673391247766,1.55993845834602e-21,2.1824957158132e-19,38.4013990931662,"STX1B","112755","syntaxin 1B","Down"
5.67999032261996,8.55866438940106,11.5632517406478,1.59638522405962e-21,2.21797772067784e-19,38.3786015290496,"CDCA7","83879","cell division cycle associated 7","Up"
-5.35460074001633,4.33648970692485,-11.5482409314335,1.73769997476681e-21,2.39766644104548e-19,38.294875083129,"LOC101930363","101930363","uncharacterized LOC101930363","Down"
-7.74033619683234,5.26785681167467,-11.5005131370101,2.27569426370822e-21,3.11848048863085e-19,38.0286317210297,"SLC12A5","57468","solute carrier family 12 member 5","Down"
-4.0653930266008,3.42050220115769,-11.4962573884437,2.33109412395538e-21,3.17266667605274e-19,38.0048894637364,"CTXN3","613212","cortexin 3","Down"
-4.71860263372134,9.87656543997633,-11.4922298861838,2.38476506929652e-21,3.22378342847402e-19,37.9824202568962,"NAPB","63908","NSF attachment protein beta","Down"
3.48191040099029,11.0383428615578,11.4866336780204,2.46139952662024e-21,3.30504834423431e-19,37.9511988408316,"CDK4","1019","cyclin dependent kinase 4","Up"
5.42316754954241,7.01549215088485,11.476953602462,2.59982142119451e-21,3.46764181158924e-19,37.8971920842202,"NDC80","10403","NDC80, kinetochore complex component","Up"
1.24103204889436,11.7810811794624,11.4453891439631,3.10762720674001e-21,4.11750314736737e-19,37.7210775111643,"PSMA2","5683","proteasome subunit alpha 2","Up"
-2.92731554128009,6.47106449906367,-11.435859000983,3.27963304818967e-21,4.31681699967966e-19,37.6679006464613,"UNC13A","23025","unc-13 homolog A","Down"
-6.2363379761235,5.81581354301633,-11.4230169025857,3.52657730211518e-21,4.61151843682473e-19,37.5962412752484,"SRRM4","84530","serine/arginine repetitive matrix 4","Down"
-6.41785970583448,7.61951849253527,-11.4201711399603,3.58376965871474e-21,4.65587529622765e-19,37.5803614743954,"RBFOX1","54715","RNA binding protein, fox-1 homolog 1","Down"
2.02620357373484,10.9201306404282,11.4167552204625,3.6536474904369e-21,4.71603389297878e-19,37.5612999475214,"SMC1A","8243","structural maintenance of chromosomes 1A","Up"
-7.20262461888157,4.56102650584462,-11.4047710054774,3.90976066002204e-21,5.01426804647827e-19,37.4944242168061,"GABRA1","2554","gamma-aminobutyric acid type A receptor alpha1 subunit","Down"
-5.78156533339511,5.09552624738006,-11.3889896448838,4.27462333123266e-21,5.44728592280075e-19,37.4063560529927,"GAD2","2572","glutamate decarboxylase 2","Down"
1.6496461510863,11.6610248776788,11.3634562209083,4.93847522040146e-21,6.25342238826405e-19,37.2638591366526,"ATRAID","51374","all-trans retinoic acid induced differentiation factor","Up"
-2.96169594968357,3.70292671343976,-11.3398997863884,5.64205048394984e-21,7.09940276933236e-19,37.1323880599912,"OR2L13","284521","olfactory receptor family 2 subfamily L member 13","Down"
3.41721546353025,7.74453409363284,11.2920989512706,7.39304695620231e-21,9.24454315329623e-19,36.8655870279859,"FAM111A","63901","family with sequence similarity 111 member A","Up"
-4.12311420428237,4.08877604506207,-11.2800982847605,7.9121717966821e-21,9.83222491529309e-19,36.7986015226367,"ATP2B3","492","ATPase plasma membrane Ca2+ transporting 3","Down"
-1.98882767530788,3.34793889509035,-11.2662437856512,8.55699981370654e-21,1.05678947699276e-18,36.7212666542725,"LOC100287576","100287576","uncharacterized LOC100287576","Down"
