"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID","GeneTitle","Status"
-8.686076300029,6.25081316980947,-11.5556389057196,1.66655490497428e-21,5.3778651586807e-19,38.3370547822914,"INA","9118","internexin neuronal intermediate filament protein alpha","Down"
-7.08155577244809,3.4905994781374,-11.4617179229756,2.83363290882665e-21,8.99880850903091e-19,37.8148877752161,"PVALB","5816","parvalbumin","Down"
-4.73879446180256,5.61568823296728,-11.4568185732684,2.91320290835031e-21,9.10694540427574e-19,37.7876443766843,"KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2","Down"
-6.29895743234828,4.85980442933195,-11.433719754025,3.31953428453955e-21,1.02175265278127e-18,37.6591949100718,"OLFM3","118427","olfactomedin 3","Down"
4.31167726978769,10.4695949133864,11.4094365796898,3.80798462128564e-21,1.15433861087972e-18,37.5241494705011,"WEE1","7465","WEE1 G2 checkpoint kinase","Up"
-3.83373174047602,6.9194488363784,-11.3855751113797,4.35794455707218e-21,1.30133427990064e-18,37.3914399187367,"CACNB3","784","calcium voltage-gated channel auxiliary subunit beta 3","Down"
-7.30576346391251,3.54248472110172,-11.3661047257213,4.86507490775437e-21,1.43140520116826e-18,37.283145659092,"CALY","50632","calcyon neuron specific vesicular protein","Down"
-3.33762643412138,8.45352649943621,-11.3603768920916,5.02520932614323e-21,1.44626363589649e-18,37.2512864033745,"LMTK2","22853","lemur tyrosine kinase 2","Down"
-4.34026926216355,3.75157452966106,-11.3591513300281,5.06015167255231e-21,1.44626363589649e-18,37.2444695430423,"DGCR9","25787","DiGeorge syndrome critical region gene 9 (non-protein coding)","Down"
-6.57581320528931,3.88747802375609,-11.3543687340297,5.19885038992328e-21,1.46497746128444e-18,37.2178674336464,"FRMPD4","9758","FERM and PDZ domain containing 4","Down"
-9.33759425948261,5.43536125582562,-11.3459308342015,5.45289469610489e-21,1.51522311368015e-18,37.1709327515531,"GABRG2","2566","gamma-aminobutyric acid type A receptor gamma2 subunit","Down"
-5.41099313312055,9.87656543997633,-11.340807172044,5.61317751057999e-21,1.53839510211197e-18,37.1424325992516,"NAPB","63908","NSF attachment protein beta","Down"
-9.55082008131369,5.19147043137,-11.3359527746474,5.76938295486696e-21,1.55983844294626e-18,37.1154298987096,"SYNPR","132204","synaptoporin","Down"
-4.92717134092008,5.12623627426959,-11.3052956758786,6.86142937523909e-21,1.83035490013878e-18,36.9448921446644,"BICDL1","92558","BICD family like cargo adaptor 1","Down"
-5.98069997012032,5.50750004160805,-11.2962914870447,7.21983439443803e-21,1.90062140433581e-18,36.8948019470389,"KIAA0319","9856","KIAA0319","Down"
3.64125695384923,7.87385146673515,11.1260998139905,1.89034958231218e-20,4.91171741471686e-18,35.9478911402261,"CHST14","113189","carbohydrate sulfotransferase 14","Up"
2.99258438435187,14.0217164363955,11.1021450195916,2.16463156169821e-20,5.55227995575591e-18,35.8145979632793,"VIM","7431","vimentin","Up"
-6.16725143312276,3.96621391691503,-11.0934924406677,2.27320227364738e-20,5.75695669479279e-18,35.7664514748828,"KRT222","125113","keratin 222","Down"
-1.79385016136308,9.52751261211243,-11.0671098594399,2.63902967185058e-20,6.59988333058933e-18,35.6196471242551,"PIN1","5300","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","Down"
-3.29015581068718,6.47106449906367,-11.0609340551087,2.73284227234737e-20,6.75012041269801e-18,35.5852820910439,"UNC13A","23025","unc-13 homolog A","Down"
-8.67792161202884,6.19863975249852,-11.0066023226285,3.71599600394772e-20,9.06657707938806e-18,35.2829553548158,"SYT13","57586","synaptotagmin 13","Down"
-4.0344815724686,6.78100349308935,-11.0040240440569,3.77058288178135e-20,9.08892189346981e-18,35.2686087077776,"MIR600","693185","microRNA 600","Down"
-5.92576948780028,4.33648970692485,-10.9978952793664,3.90358006660956e-20,9.29749123722113e-18,35.2345056899502,"LOC101930363","101930363","uncharacterized LOC101930363","Down"
-6.40253550010284,3.25452816713609,-10.9780622047441,4.36697238531531e-20,1.02788254721181e-17,35.124146797049,"CACNG3","10368","calcium voltage-gated channel auxiliary subunit gamma 3","Down"
-6.87663970506142,5.7695830530474,-10.9677880555217,4.62825559952735e-20,1.07671522999702e-17,35.0669779421443,"CAMK4","814","calcium/calmodulin dependent protein kinase IV","Down"
-6.65575546325393,3.59162949049408,-10.9122844604076,6.33504830561921e-20,1.45684266035084e-17,34.7581452902722,"IPCEF1","26034","interaction protein for cytohesin exchange factors 1","Down"
-6.09296852559629,4.86973107779905,-10.907202836946,6.51975787326947e-20,1.48228177011934e-17,34.729871029485,"ACTL6B","51412","actin like 6B","Down"
-2.34795982437176,2.34645811567929,-10.8401503749635,9.52617303474451e-20,2.12876888591286e-17,34.3568083497007,"RFPL2","10739","ret finger protein like 2","Down"
-4.79587830885464,6.23842361240385,-10.8392258555628,9.57610834868583e-20,2.12876888591286e-17,34.3516648410301,"RAB11FIP4","84440","RAB11 family interacting protein 4","Down"
