"Gene.symbol","logFC","adj.P.Val"
"PI4KA",-2.23336816416424,1.18504757398088e-14
"REPS2",-4.99802893182262,1.18504757398088e-14
"OIP5-AS1",-1.84114995170145,1.19037148433244e-14
"DCAF13",1.82445599347061,1.24389309616009e-14
"TMEM155",-4.72518321385779,1.28201789275815e-14
"ZDHHC15",2.99857240443977,1.29235119017145e-14
"PDIA4",2.17726786255574,1.32959713968736e-14
"TP53",3.3038179813637,1.32959713968736e-14
"TUBG2",-2.58137720115786,1.32959713968736e-14
"CEP170B",-2.14022596371815,1.35455007974968e-14
"LSM14A",1.35490520675785,1.45447861168166e-14
"RGR",-2.73441571159238,1.4604375943654e-14
"C19orf54",2.34612933394911,1.52668860951576e-14
"IL10RB",1.89586773898152,1.60482745574483e-14
"HPCAL4",-6.64951801109343,1.61083286315093e-14
"LOC728073",-1.30369575777653,1.68324754530876e-14
"TEF",-2.62803427661118,1.70136211681375e-14
"SEC61A1",1.65256883150413,1.70136211681375e-14
"PRKCZ",-4.62133824235049,1.71150100727004e-14
"RDX",1.78655242990795,1.73034685756061e-14
"FAM234B",-2.78952146721532,1.74261285305216e-14
"PHYHIP",-5.59344117499396,1.84623764415763e-14
"KIFC2",-2.49122706827404,1.90109714908764e-14
"AATK",-3.32461846344366,2.04425376015006e-14
"CCDC50",1.71415234405081,2.05510856050546e-14
"ANTXR2",3.77547119172649,2.07754603625912e-14
"CDH8",-3.00421965507916,2.08121709786652e-14
"GRM3",-6.34530837203084,2.09620751043981e-14
"FAM111A",3.00583567960454,2.25654284014537e-14
"CARD8",2.1875372371255,2.33953725066791e-14
"C6orf106",-1.84290584062124,2.33953725066791e-14
"HIVEP2",-2.62184906576667,2.3438180813432e-14
"SNORD96A",1.24699894650756,2.3438180813432e-14
"RAB15",-4.1041522894622,2.54275709480722e-14
"NRIP3",-4.97538002868626,2.59607386926526e-14
"SNURF",-1.46623447657534,2.99545795611125e-14
"NUP107",2.52409900016686,3.06781348903572e-14
"IL12RB2",-1.53621032711368,3.11052698336774e-14
"SLC26A8",-1.29344028636515,3.1390887725301e-14
"UTP23",1.64089740412373,3.21371204779515e-14
"CCDC68",-2.04978187816108,3.22685502517177e-14
"DGKE",-4.20700054370217,3.2901899065617e-14
"PIP5K1B",-4.92411430008922,3.3038352841273e-14
"OXCT1",-1.91049716958902,3.37751616526045e-14
"GUCY1B3",-3.41723899243985,3.42679737361375e-14
"PENK",-5.13532996097653,3.51324466718091e-14
"ATL1",-2.5593683379242,3.54651684877892e-14
"HAT1",1.5328150746497,3.65998211461534e-14
"DNAJC5",-1.52362854757976,3.70204778831028e-14
"RASGRF2",-4.76355873038817,3.77939069307651e-14
"TMCO1",1.32095436012307,3.77939069307651e-14
"LPCAT4",-4.05675347930434,3.81683575755364e-14
"VIM",2.67717956390163,3.83700237821748e-14
"HID1",-2.62991426950033,3.84008424864122e-14
"JAKMIP3",-3.28253055870046,3.99702106774006e-14
"SNX32",-1.62413654260723,4.02668514225548e-14
"SLC8A2",-5.81092297526772,4.05486421445983e-14
"KIRREL3",-4.32798409225668,4.05486421445983e-14
"OLFM3",-5.38452061648653,4.16483167370565e-14
"CAMK2B",-3.55898433188318,4.28344853967095e-14
"LGALS3BP",2.59287114246482,4.28885335189573e-14
"NEFM",-7.8005731714215,4.41804526940537e-14
"MYCBP2",-1.99155695018837,4.52060548611571e-14
"DOC2A",-2.88088121301677,5.04085327115154e-14
"STXBP1",-2.83890913763879,5.51670255608436e-14
"C8orf58",1.89454562556923,6.22467113442032e-14
"CA1",-1.24250845469665,6.22849555734512e-14
"LINC00294",-2.41973723485523,6.47866309173615e-14
