Metric,Rank,GeneSymbol,Value,Degree,Strength,Closeness,Betweenness,EigenCentrality,Status
Closeness_degree_ge_3,1,SVOP,0.758909763864255,6,5.20803342524453,0.758909763864255,0.0007121611997821,1.29520006183496e-16,Down
Closeness_degree_ge_3,2,BSN,0.551652375818416,3,2.61823973620046,0.551652375818416,0.0002513510116878,9.06640043284475e-17,Down
Closeness_degree_ge_3,3,SDR16C5,0.4396531284176,19,16.6912377358208,0.4396531284176,0.019312136064681,0.48337063668905,Down
Closeness_degree_ge_3,4,ANKRD34C,0.437853395018457,18,15.6731193161312,0.437853395018457,0.0085878262326672,0.358612355074401,Down
Closeness_degree_ge_3,5,STYK1,0.434362445645402,29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,Down
Closeness_degree_ge_3,6,DCTN1-AS1,0.432478340312277,25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,Down
Closeness_degree_ge_3,7,KCNV1,0.406775812995705,25,22.927828447103,0.406775812995705,0.005655397762976,1.0,Down
Closeness_degree_ge_3,8,LY86-AS1,0.402042272216736,23,21.1604779921301,0.402042272216736,0.0010054040467512,0.980093362298751,Down
Closeness_degree_ge_3,9,LINC00507,0.401119591385332,23,21.0758447215603,0.401119591385332,0.0011729713878765,0.975903120373817,Down
Closeness_degree_ge_3,10,GLS2,0.391593284185541,12,10.4859629231973,0.391593284185541,0.0115621465376398,0.164074532776556,Down
Eigenvector,1,KCNV1,1.0,25,22.927828447103,0.406775812995705,0.005655397762976,1.0,Down
Eigenvector,2,LY86-AS1,0.980093362298751,23,21.1604779921301,0.402042272216736,0.0010054040467512,0.980093362298751,Down
Eigenvector,3,STYK1,0.978514879756229,29,26.1268408487566,0.434362445645402,0.021239160487621,0.978514879756229,Down
Eigenvector,4,LINC00507,0.975903120373817,23,21.0758447215603,0.401119591385332,0.0011729713878765,0.975903120373817,Down
Eigenvector,5,SLC26A4-AS1,0.929682011003689,21,19.305277743438,0.36932699708811,0.0002932428469691,0.929682011003689,Down
Eigenvector,6,LINC01123,0.887527790525862,21,18.8800364752612,0.365277982112126,4.18918352813037e-05,0.887527790525862,Down
Eigenvector,7,VIP,0.82671557309146,18,16.2028439256775,0.358613414570773,0.0,0.82671557309146,Down
Eigenvector,8,DCTN1-AS1,0.817917340426479,25,22.1703635137924,0.432478340312277,0.0116878220434837,0.817917340426479,Down
Eigenvector,9,MCHR2,0.815315990190452,18,16.4230389931719,0.360179084666236,0.0,0.815315990190452,Down
Eigenvector,10,TMEM191A,0.812631414112348,19,16.8938946925856,0.383734960098808,0.0013405387290017,0.812631414112348,Down
