"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","60/1921","216/9400",0.277777777777778,1.35924576320204,2.70698178596675,0.00551496195060141,0.0218091677137419,0.013589499543348,"815/6416/5601/5291/5530/7157/816/808/5532/51135/818/3708/841/8743/4615/5600/208/23236/3551/839/5534/9475/414062/1573/19/4775/29108/5332/6347/5970/1535/5451/8795/355/3576/7494/7412/998/317/91860/5602/30001/3383/834/5599/3606/4318/4772/3310/2920/4217/7132/3553/6300/2921/23643/948/4688/5578/4973",60
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","37/1921","122/9400",0.30327868852459,1.48402898080747,2.72713625683874,0.0060026172905673,0.0233204618179392,0.0145312012537673,"6750/6416/2773/5601/5582/5291/3708/5567/111/5579/5604/5600/208/23236/107/148327/8835/6776/776/5332/112609/64764/115/5602/25759/4214/53358/3479/5599/6752/2770/6751/6300/114/108/5578/9021",37
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","21/1921","60/9400",0.35,1.71264966163457,2.80647392133167,0.00609816673974847,0.0233204618179392,0.0145312012537673,"5582/5291/5530/5532/5579/5604/5600/208/5829/5534/8605/998/7867/8877/25759/5880/3791/7422/6300/5743/5578",21
"Organismal Systems","Nervous system","hsa04730","Long-term depression","21/1921","60/9400",0.35,1.71264966163457,2.80647392133167,0.00609816673974847,0.0233204618179392,0.0145312012537673,"2773/5582/1392/10672/3708/5579/5604/369/2781/23236/8605/5332/6261/2911/4842/3479/2891/2770/2892/2890/5578",21
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","47/1921","163/9400",0.288343558282209,1.41094713579009,2.68223625760934,0.00627297492494275,0.0237282094986965,0.0147852727063868,"1017/6416/6775/5601/5582/5291/7046/7157/51135/2185/3339/5579/5604/369/5925/841/4615/5600/4089/208/3551/148327/332/7098/5111/4775/6776/7048/890/5970/4609/64764/355/3576/317/64135/7040/5602/4214/1643/5599/4318/4772/3718/6300/1960/5578",47
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","57/1921","205/9400",0.278048780487805,1.36057185662955,2.64530425499192,0.00656364334611925,0.0245607299403172,0.0153040241007421,"1017/956/6416/5601/5291/7157/7431/1019/7128/51135/2923/5925/841/4615/5600/208/4940/3551/3065/25942/890/5970/4734/4609/3122/8819/3108/3135/3105/355/10018/6502/960/317/811/965/3106/3280/5602/1021/4938/3383/595/1643/3134/5599/3117/3113/3718/3627/3123/6300/3111/864/4939/4616/3115",57
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1921","99/9400",0.313131313131313,1.53224067851866,2.69801015406533,0.00684905964903804,0.0252895819253703,0.0157581786951793,"5601/5291/7157/5469/1019/5567/111/5604/369/5925/5600/1031/208/107/182/115/5602/25759/595/4851/53358/3479/5599/2064/4318/6300/4313/1029/114/108/28514",31
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","32/1921","103/9400",0.310679611650485,1.52024380505703,2.6905239042081,0.00690376518077639,0.0252895819253703,0.0157581786951793,"5582/5291/5567/5579/1281/1277/23236/107/1278/1282/3915/1284/5332/2335/5970/3910/384/3576/3908/1288/3913/284217/7040/2774/5269/9630/2920/3553/2921/3689/7850/5578",32
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","18/1921","50/9400",0.36,1.76158250910984,2.73639569569589,0.00773316349036115,0.0280327176525592,0.0174674526207719,"2805/548596/84735/57571/4953/2806/113451/501/4942/1160/5033/4842/384/79814/112849/217/5831/4128",18
"Cellular Processes","Cell motility","hsa04814","Motor proteins","54/1921","194/9400",0.278350515463918,1.36204833178596,2.58234742416393,0.00781457889131634,0.0280358088059596,0.0174693787478151,"6993/92558/27175/90990/24137/64837/7277/3832/3800/10382/57644/11127/3797/1780/7802/7280/51143/9928/3831/4644/4649/146909/3798/56992/3833/10112/9493/81930/11004/23095/4650/547/4629/4643/7138/6990/84617/4647/59/374654/1062/3835/1767/72/127602/7171/1770/70/201625/399687/23026/23046/1768/64147",54
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","22/1921","65/9400",0.338461538461538,1.65618868377848,2.69036369849129,0.00792044709369599,0.0281256692714919,0.0175253716573724,"3765/5582/5291/3780/3763/610/3708/5579/5604/2550/8911/348980/208/23236/3760/776/408/5332/9568/8913/3781/5578",22
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","67/1921","250/9400",0.268,1.31140031233732,2.52907228145731,0.00852636335020774,0.0299714590492151,0.0186755007989665,"440073/23096/93343/5662/116986/51324/7046/5590/8395/254122/26056/10193/84552/1759/26286/50855/3800/10015/9922/84440/118813/22841/1212/81873/23396/157/51028/23362/7852/26052/6457/6456/9829/273/274/27131/644150/9372/7048/408/57154/3798/23327/58513/30845/4734/3135/1785/3105/1234/998/83737/3106/857/116985/64744/3134/3310/30011/64411/2263/56904/10095/116984/57180/2261/858",67
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","29/1921","93/9400",0.311827956989247,1.52586298578809,2.58280703644398,0.00928301579608422,0.0322942481237722,0.020122852732901,"6775/5601/5530/3595/5532/5588/5600/84441/3551/5534/4775/6776/182/5970/3122/3108/5602/4851/5599/3117/3113/4772/3718/3123/6300/3111/864/28514/3115",29
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","31/1921","101/9400",0.306930693069307,1.50189927894403,2.57005179218488,0.00937275592097987,0.0322942481237722,0.020122852732901,"815/2773/5582/816/808/8323/818/5567/111/5579/5604/1857/7474/23236/107/7480/148327/3815/1906/5332/2535/64764/91860/115/83439/2770/8321/114/108/5578/51176",31
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","54/1921","196/9400",0.275510204081633,1.34814987942079,2.49625369308482,0.00969653681165834,0.0328338977151808,0.0204591135188362,"6416/5601/5291/5530/7157/10681/808/5532/1019/3708/2787/5604/84557/5925/841/5600/208/3551/2785/5534/7098/4775/55970/2788/5970/4609/3135/51764/3105/355/1234/3576/91860/9976/3106/5602/1021/440738/3383/595/83439/3134/285/5599/7422/4772/2920/7132/6300/4277/2921/5743/51176/1230",54
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","18/1921","51/9400",0.352941176470588,1.72704167559788,2.63842379489861,0.00971807892144718,0.0328338977151808,0.0204591135188362,"10952/11014/9601/29927/529/51606/51382/5567/523/534/535/526/23480/11015/55176/115/30001/5578",18
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","10/1921","23/9400",0.434782608695652,2.12751510762058,2.74370282446949,0.0103489081054161,0.0342992382922363,0.0213721811500323,"27165/2805/2806/100526760/790/2744/4842/384/1373/2746",10
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","10/1921","23/9400",0.434782608695652,2.12751510762058,2.74370282446949,0.0103489081054161,0.0342992382922363,0.0213721811500323,"27165/4190/2744/476/481/2746/482/477/8671/358",10
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","44/1921","155/9400",0.283870967741935,1.38906147671744,2.47521747694052,0.0107081079439105,0.0351549204196308,0.0219053648107802,"815/54554/1017/6770/2773/816/1392/1019/8323/818/3708/5567/111/5604/5925/1857/8911/7474/1031/57552/23236/107/7480/148327/776/3777/5332/2535/324/3164/64764/8913/115/1021/595/83439/2770/1030/8321/1029/114/108/51176/196",44
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","53/1921","193/9400",0.274611398963731,1.34375177004637,2.44538512807696,0.0110326594456171,0.0358819204399508,0.0223583654284025,"5058/2773/5291/5590/10681/5567/111/2185/6093/5579/2787/5604/157/7852/208/23236/3551/107/2785/5829/9844/9475/414062/55970/408/9547/2788/7074/5332/6347/5970/51764/6351/6376/1234/3576/998/115/25759/5880/53358/2770/2920/3718/3627/58191/2921/114/108/5473/6372/6374/1230",53
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","15/1921","41/9400",0.365853658536585,1.79022612714414,2.56987103775038,0.0122729846009402,0.0395462837141408,0.0246416649882426,"7157/1019/5604/369/5925/4609/3576/595/2064/4318/7422/4313/1029/2261/999",15
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","42/1921","149/9400",0.281879194630872,1.37931516373254,2.36527553111987,0.0140675962774115,0.0449130596746716,0.0279857540622576,"8525/2149/5291/2913/8526/8395/1759/10672/111/2185/1609/5604/23396/11069/2915/26052/208/2912/23236/107/10161/3815/160851/22808/7248/8605/5332/2911/1607/1785/3576/2846/2549/115/8877/25759/53358/56034/9170/114/108/5578",42
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","65/1921","248/9400",0.262096774193548,1.2825141475374,2.28502405467342,0.0155784001504122,0.0492843932031224,0.0307095735022481,"6993/5058/6416/5601/5291/64837/7277/23207/51135/26999/3800/10382/81873/5604/1780/841/8743/7280/4615/26263/5600/2316/5216/51143/208/3831/3551/5063/9844/9475/29108/4671/302/112574/3798/79443/10810/5970/4609/8767/8795/1785/6990/3576/998/6281/5602/5287/84617/3071/834/83439/51209/57381/5599/3606/837/7132/3553/6300/10095/57180/23643/7100/51176",65
