"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"R-HSA-9013404","RAC2 GTPase cycle",1.94805540478477,10,0.17381097406223,3.31889477845572e-21,1.08126318422388e-10,"ARHGAP17, ARHGAP42, CAV1, CDC42, CYBA, DEPDC1B, DIAPH3, DSG2, IQGAP1, ITGB1, LBR, NCF2, NCKAP1L, PAK2, RAC2, RACGAP1, SWAP70, SYDE1, TMPO, VANGL1, VRK2, WASF2","ABR, ARHGAP26, ARHGAP32, BCR, DOCK3, DOCK4, MCF2, MPP7, PAK1, SLITRK5, TIAM1"
"R-HSA-68877","Mitotic Prometaphase",1.89083052431026,10,0.364318181818182,4.73141051819252e-21,1.44791942053512e-17,"ALMS1, AURKB, BIRC5, BUB1, BUB1B, CCNB1, CCNB2, CDC20, CDCA5, CDCA8, CDK1, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPM, CENPQ, CENPU, CEP135, CEP152, CEP192, CEP57, CETN2, CNTRL, EML4, ERCC6L, HAUS1, KIF18A, KIF2C, KNTC1, MAD2L1, MAPRE1, MIS12, NCAPD2, NCAPG, NCAPH, NDC80, NDE1, NEDD1, NINL, NUF2, NUP107, NUP160, NUP37, NUP85, ODF2, PLK4, RCC2, SMC1A, SMC2, SMC3, SMC4, SPC25, SPDL1, STAG1, TUBB6, ZWINT","DYNC1I1, DYNC1LI1, MZT1, NDEL1, NME7, PPP2R5A, PPP2R5B, PRKAR2B, RANGAP1, TUBA4A, TUBB2A, TUBB4A, TUBG2, YWHAG"
"R-HSA-180786","Extension of Telomeres",2.13223518850987,10,0.133156565656566,6.97375729738451e-21,8.09408732406715e-09,"BLM, CCNA2, CDK2, DSCC1, GAR1, LIG1, PCNA, POLA1, POLD1, POLD3, POT1, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5, RUVBL1, WRAP53, WRN",""
"R-HSA-2995410","Nuclear Envelope (NE) Reassembly",1.59952411401589,10,0.292167910258363,1.06537085297448e-20,4.1037628020451e-10,"CCNB1, CCNB2, CDK1, LBR, LMNA, LMNB1, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, RCC1, TMPO, TUBB6, UBE2I, VRK2","RANGAP1, TUBA4A, TUBB2A, TUBB4A"
"R-HSA-9013423","RAC3 GTPase cycle",1.9865545234564,10,0.1375,1.99873077734449e-20,3.80303832340868e-11,"ARAP3, ARHGAP17, ARHGAP42, CAV1, CDC42, CYBA, DEPDC1B, DIAPH3, DSG2, ITGB1, JAG1, LBR, NCF2, NCKAP1L, PAK2, RACGAP1, SWAP70, SYDE1, TMPO, VANGL1, VRK2, WASF2","ABR, ARAP2, ARHGAP26, ARHGAP32, BAIAP2, BCR, MCF2, MPP7, NOXA1, PAK1, SLITRK3, SLITRK5, TIAM1, WASF1"
"R-HSA-72163","mRNA Splicing - Major Pathway",0.804237694864639,10,0.192925531914894,2.24065229841275e-20,2.27069582132966e-11,"ALYREF, AQR, BUD13, CWF19L2, DHX38, FUS, HNRNPC, HNRNPD, HNRNPF, HNRNPM, LSM2, LSM5, LSM7, LSM8, NCBP1, NSRP1, PPIL4, PRPF40A, RBM7, SF3A2, SF3B6, SNIP1, SNRNP40, SNRPA, SNRPB, SNRPD1, SNRPE, SNRPF, SNRPG, SRSF10, SRSF3, YBX1",""
"R-HSA-112315","Transmission across Chemical Synapses",2.45151067301063,10,0.0701758793969849,3.28946845904545e-20,3.09600944415691e-13,"CACNG4, GLS, GNAI3, GNG12, GNG5, PRKX, TUBB6","ABAT, ACTN2, ADCY1, ADCY2, ADCY5, ADCY8, ADCY9, AKAP5, ALDH2, APBA1, ARHGEF9, CACNA1B, CACNA1E, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG2, CACNG3, CACNG8, CAMK1, CAMK2A, CAMK2B, CAMK2G, CAMK4, CAMKK1, CAMKK2, CHRNA3, CPLX1, DLG1, DLG2, DLG3, DLG4, DNAJC5, EPB41L1, ERBB4, GABBR1, GABBR2, GABRA1, GABRA2, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRG2, GAD1, GAD2, GLRB, GLS2, GNAI1, GNAL, GNB5, GNG13, GNG3, GNG7, GRIA1, GRIA2, GRIA3, GRIA4, GRIK2, GRIN1, GRIN2A, GRIN2C, KCNJ16, KCNJ2, KCNJ3, KCNJ4, KCNJ6, KCNJ9, LIN7A, LIN7B, LRRC7, MAOA, MAPT, NBEA, NCALD, NEFL, NPTN, NRG1, NRGN, PICK1, PLCB1, PPFIA2, PPFIA3, PPFIA4, PPM1E, PRKAA2, PRKACB, PRKAR1B, PRKAR2B, PRKCA, PRKCB, PRKCG, RAB3A, RASGRF2, RIMS1, RPS6KA2, RPS6KA6, SLC17A7, SLC1A1, SLC1A2, SLC1A6, SLC32A1, SLC6A1, SNAP25, STX1A, STXBP1, SYN1, SYN2, SYT1, TSPAN7, TUBA4A, TUBB2A, TUBB4A, VAMP2"
"R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis",2.46145476307056,10,0.087779322142628,4.39477456375876e-20,8.54588224376268e-08,"BLM, DSCC1, LIG1, PCNA, POLA1, POLD1, POLD3, POT1, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5, WRN",""
"R-HSA-8854518","AURKA Activation by TPX2",1.57307760386376,10,0.121581670362158,6.13325517758905e-20,2.22496534262481e-09,"ALMS1, AURKA, CDK1, CEP135, CEP152, CEP192, CEP57, CETN2, CNTRL, HAUS1, HMMR, MAPRE1, NDE1, NEDD1, NINL, ODF2, PLK4, TPX2","PRKAR2B, TUBA4A, TUBB4A, YWHAG"
"R-HSA-453279","Mitotic G1 phase and G1/S transition",1.78372313067107,10,0.392873458200091,6.98400882706428e-20,2.36590862044047e-16,"ABL1, AKT2, CCNA2, CCNB1, CCND1, CDC25A, CDK1, CDK2, CDK4, CDK6, CDKN2A, CDKN2B, CDKN2C, CDT1, CKS1B, DBF4, DHFR, E2F5, E2F6, FBXO5, HDAC1, MCM10, MCM2, MCM3, MCM4, MCM5, MCM7, MCM8, MYBL2, MYC, ORC2, PCNA, POLA1, POLE2, PPP2R3B, PRIM1, PRIM2, PSMB8, PSMB9, PSME1, PSMF1, RB1, RBBP4, RBL1, RRM2, SKP2, TK1, TOP2A, TYMS, WEE1","CABLES1, CDKN2D"
"R-HSA-72172","mRNA Splicing",0.786538801931879,10,0.188383838383838,9.49107794999066e-20,1.0034692708051e-10,"ALYREF, AQR, BUD13, CWF19L2, DHX38, FUS, HNRNPC, HNRNPD, HNRNPF, HNRNPM, LSM2, LSM5, LSM7, LSM8, NCBP1, NSRP1, PPIL4, PRPF40A, RBM7, SF3A2, SF3B6, SNIP1, SNRNP40, SNRPA, SNRPB, SNRPD1, SNRPE, SNRPF, SNRPG, SRSF10, SRSF3, YBX1","SNRNP25"
