"GeneSymbol","Degree","Strength","Closeness","Betweenness","EigenCentrality","Community","name","logFC","adj.P.Val","Status"
"MOBP",0,0,NA,0,4.55343771738855e-19,113,"MOBP",-6.45858739550072,1.57584445760608e-17,"Down"
"MVB12A",0,0,NA,0,4.55343771738855e-19,84,"MVB12A",2.38264225318106,1.22948506463412e-18,"Up"
"MYPOP",0,0,NA,0,4.55343771738855e-19,137,"MYPOP",-2.42257963370112,5.19654124640986e-17,"Down"
"NCDN",0,0,NA,0,4.55343771738855e-19,48,"NCDN",-3.84698907561269,5.0364244472683e-21,"Down"
"NEDD1",0,0,NA,0,4.55343771738855e-19,10,"NEDD1",3.30248540519506,2.56672434283027e-26,"Up"
"NEFL",0,0,NA,0,4.55343771738855e-19,97,"NEFL",-6.06534831875885,5.24261600902572e-18,"Down"
"NKAIN2",0,0,NA,0,4.55343771738855e-19,43,"NKAIN2",-5.30988945193492,1.10267992188762e-21,"Down"
"NUP37",0,0,NA,0,4.55343771738855e-19,34,"NUP37",3.02568179187206,1.17810156119542e-22,"Up"
"OGDHL",0,0,NA,0,4.55343771738855e-19,119,"OGDHL",-4.91957822945201,2.25981599780141e-17,"Down"
"OPALIN",0,0,NA,0,4.55343771738855e-19,61,"OPALIN",-5.35344481831289,7.31439334088506e-20,"Down"
"OR2L13",0,0,NA,0,4.55343771738855e-19,28,"OR2L13",-3.15120221662183,3.97438192971484e-23,"Down"
"OTUD7A",0,0,NA,0,4.55343771738855e-19,5,"OTUD7A",-4.62423528900763,3.83787593458939e-30,"Down"
"PABPC1L2B",0,0,NA,0,4.55343771738855e-19,70,"PABPC1L2B",-3.1374481193165,2.67355791431242e-19,"Down"
"PAK1",0,0,NA,0,4.55343771738855e-19,81,"PAK1",-3.54512007117443,8.35961290431766e-19,"Down"
"PANX2",0,0,NA,0,4.55343771738855e-19,72,"PANX2",-3.5680566057384,3.05470930087983e-19,"Down"
"PELI3",0,0,NA,0,4.55343771738855e-19,96,"PELI3",-2.62957870117259,4.49123802451785e-18,"Down"
"PIN1",0,0,NA,0,4.55343771738855e-19,42,"PIN1",-1.70378090714004,5.16639222408342e-22,"Down"
"PNMAL2",0,0,NA,0,4.55343771738855e-19,109,"PNMAL2",-4.31752277639922,1.1096852563254e-17,"Down"
"PPP1R16B",0,0,NA,0,4.55343771738855e-19,129,"PPP1R16B",-4.97735775055654,4.42537318482082e-17,"Down"
"PPP4R1",0,0,NA,0,4.55343771738855e-19,63,"PPP4R1",1.64886637629033,1.00376605508932e-19,"Up"
"PRDX4",0,0,NA,0,4.55343771738855e-19,120,"PRDX4",2.20331172421973,2.96254980176739e-17,"Up"
"PRKCE",0,0,NA,0,4.55343771738855e-19,106,"PRKCE",-4.2165256085121,1.06439107891272e-17,"Down"
"PRRT3",0,0,NA,0,4.55343771738855e-19,108,"PRRT3",-3.27050698790013,1.1096852563254e-17,"Down"
"PSD",0,0,NA,0,4.55343771738855e-19,128,"PSD",-2.64494023291513,4.08743625825813e-17,"Down"
"PVALB",0,0,NA,0,4.55343771738855e-19,11,"PVALB",-7.0877786066455,4.88757936864938e-26,"Down"
"RAB40B",0,0,NA,0,4.55343771738855e-19,41,"RAB40B",-3.15232705573044,5.14709508421379e-22,"Down"
"RAB40C",0,0,NA,0,4.55343771738855e-19,144,"RAB40C",-1.71473666539613,8.63655133580161e-17,"Down"
"RBM11",0,0,NA,0,4.55343771738855e-19,123,"RBM11",-2.96587222623695,3.47198035739001e-17,"Down"
"RBM12",0,0,NA,0,4.55343771738855e-19,36,"RBM12",1.82136350491683,1.41482262873256e-22,"Up"
"RBM3",0,0,NA,0,4.55343771738855e-19,68,"RBM3",2.74355770350512,2.6594662968934e-19,"Up"
