"ProbeID","GeneSymbol","EntrezID","GeneTitle","GOProcess","GOProcessID","GOFunction","GOFunctionID","GOComponent","GOComponentID"
"203519_s_at","UPF2","26019","UPF2 regulator of nonsense transcripts homolog (yeast)","liver development///mRNA export from nucleus///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///organ regeneration","GO:0001889///GO:0006406///GO:0000184///GO:0000184///GO:0031100","RNA binding///protein binding///telomeric DNA binding","GO:0003723///GO:0005515///GO:0042162","cytoplasm///cytosol///exon-exon junction complex///nucleus///perinuclear region of cytoplasm","GO:0005737///GO:0005829///GO:0035145///GO:0005634///GO:0048471"
"203521_s_at","ZNF318","24149","zinc finger protein 318","meiotic cell cycle///regulation of transcription, DNA-templated///transcription, DNA-templated","GO:0051321///GO:0006355///GO:0006351","nucleic acid binding///zinc ion binding","GO:0003676///GO:0008270","cytoplasm///nucleoplasm","GO:0005737///GO:0005654"
"203522_at","CCS","9973","copper chaperone for superoxide dismutase","cell-cell adhesion///intracellular copper ion transport///oxidation-reduction process///positive regulation of oxidoreductase activity///removal of superoxide radicals///response to reactive oxygen species///superoxide metabolic process","GO:0098609///GO:0015680///GO:0055114///GO:0051353///GO:0019430///GO:0000302///GO:0006801","cadherin binding involved in cell-cell adhesion///copper ion binding///protein binding///protein disulfide oxidoreductase activity///superoxide dismutase activity///superoxide dismutase copper chaperone activity///zinc ion binding","GO:0098641///GO:0005507///GO:0005515///GO:0015035///GO:0004784///GO:0016532///GO:0008270","cell-cell adherens junction///cytoplasm///cytosol///nucleus","GO:0005913///GO:0005737///GO:0005829///GO:0005634"
"203523_at","LSP1","4046","lymphocyte-specific protein 1","cellular defense response///chemotaxis///movement of cell or subcellular component///signal transduction","GO:0006968///GO:0006935///GO:0006928///GO:0007165","actin binding///signal transducer activity","GO:0003779///GO:0004871","actin cytoskeleton///extracellular exosome///membrane///plasma membrane","GO:0015629///GO:0070062///GO:0016020///GO:0005886"
"203524_s_at","MPST","4357","mercaptopyruvate sulfurtransferase","cyanate catabolic process///hydrogen sulfide biosynthetic process///kidney development///liver development///response to toxic substance///spinal cord development///transsulfuration","GO:0009440///GO:0070814///GO:0001822///GO:0001889///GO:0009636///GO:0021510///GO:0019346","3-mercaptopyruvate sulfurtransferase activity///identical protein binding///thiosulfate sulfurtransferase activity","GO:0016784///GO:0042802///GO:0004792","cell junction///cytosol///extracellular exosome///mitochondrion///neuron projection///synapse","GO:0030054///GO:0005829///GO:0070062///GO:0005739///GO:0043005///GO:0045202"
"203525_s_at","APC","324","APC, WNT signaling pathway regulator","Wnt signaling pathway///beta-catenin destruction complex assembly///beta-catenin destruction complex disassembly///bicellular tight junction assembly///canonical Wnt signaling pathway///canonical Wnt signaling pathway///cell adhesion///cell cycle arrest///cell fate specification///cell migration///cellular component disassembly involved in execution phase of apoptosis///cellular response to DNA damage stimulus///cellular response to nerve growth factor stimulus///establishment or maintenance of cell polarity///mitotic cytokinesis///mitotic spindle assembly checkpoint///negative regulation of canonical Wnt signaling pathway///negative regulation of canonical Wnt signaling pathway///negative regulation of cell proliferation///negative regulation of cyclin-dependent protein serine/threonine kinase activity///negative regulation of microtubule depolymerization///negative regulation of microtubule depolymerization///neuron projection development///pancreas development///pattern specification process///positive regulation of apoptotic process///positive regulation of cell migration///positive regulation of protein catabolic process///positive regulation of protein catabolic process///positive regulation of pseudopodium assembly///proteasome-mediated ubiquitin-dependent protein catabolic process///protein complex assembly///regulation of attachment of spindle microtubules to kinetochore///regulation of attachment of spindle microtubules to kinetochore///regulation of cell differentiation///regulation of glutamate metabolic process///regulation of microtubule-based process///response to alcohol///response to drug","GO:0016055///GO:1904885///GO:1904886///GO:0070830///GO:0060070///GO:0060070///GO:0007155///GO:0007050///GO:0001708///GO:0016477///GO:0006921///GO:0006974///GO:1990090///GO:0007163///GO:0000281///GO:0007094///GO:0090090///GO:0090090///GO:0008285///GO:0045736///GO:0007026///GO:0007026///GO:0031175///GO:0031016///GO:0007389///GO:0043065///GO:0030335///GO:0045732///GO:0045732///GO:0031274///GO:0043161///GO:0006461///GO:0051988///GO:0051988///GO:0045595///GO:2000211///GO:0032886///GO:0097305///GO:0042493","beta-catenin binding///NOT cadherin binding///gamma-catenin binding///microtubule binding///microtubule plus-end binding///protein binding///protein complex binding///protein kinase binding///protein kinase regulator activity","GO:0008013///NOT GO:0045296///GO:0045295///GO:0008017///GO:0051010///GO:0005515///GO:0032403///GO:0019901///GO:0019887","Wnt signalosome///axonal growth cone///beta-catenin destruction complex///bicellular tight junction///catenin complex///cell body fiber///cell cortex///colocalizes_with cell-cell adherens junction///centrosome///cytoplasm///colocalizes_with cytoplasmic microtubule///cytosol///dendrite///kinetochore///lamellipodium///lateral plasma membrane///neuron projection terminus///neuronal cell body///nuclear membrane///nucleoplasm///nucleus///plasma membrane///colocalizes_with plasma membrane///ruffle membrane///synapse","GO:1990909///GO:0044295///GO:0030877///GO:0005923///GO:0016342///GO:0070852///GO:0005938///colocalizes_with GO:0005913///GO:0005813///GO:0005737///colocalizes_with GO:0005881///GO:0005829///GO:0030425///GO:0000776///GO:0030027///GO:0016328///GO:0044306///GO:0043025///GO:0031965///GO:0005654///GO:0005634///GO:0005886///colocalizes_with GO:0005886///GO:0032587///GO:0045202"
"203528_at","SEMA4D","10507","semaphorin 4D","cell adhesion///immune response///leukocyte aggregation///negative chemotaxis///negative regulation of alkaline phosphatase activity///negative regulation of apoptotic process///negative regulation of axon extension involved in axon guidance///negative regulation of cell adhesion///negative regulation of osteoblast differentiation///negative regulation of peptidyl-tyrosine phosphorylation///negative regulation of transcription from RNA polymerase II promoter///neural crest cell migration///ossification involved in bone maturation///positive regulation of GTPase activity///positive regulation of GTPase activity///positive regulation of cell migration///positive regulation of cell migration///positive regulation of collateral sprouting///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of phosphatidylinositol 3-kinase signaling///positive regulation of protein phosphorylation///regulation of cell projection organization///regulation of cell shape///regulation of dendrite morphogenesis///semaphorin-plexin signaling pathway///semaphorin-plexin signaling pathway///semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis","GO:0007155///GO:0006955///GO:0070486///GO:0050919///GO:0010693///GO:0043066///GO:0048843///GO:0007162///GO:0045668///GO:0050732///GO:0000122///GO:0001755///GO:0043931///GO:0043547///GO:0043547///GO:0030335///GO:0030335///GO:0048672///GO:0050731///GO:0014068///GO:0001934///GO:0031344///GO:0008360///GO:0048814///GO:0071526///GO:0071526///GO:1900220","chemorepellent activity///NOT neuropilin binding///protein binding///receptor activity///receptor binding///semaphorin receptor binding///semaphorin receptor binding///transmembrane signaling receptor activity","GO:0045499///NOT GO:0038191///GO:0005515///GO:0004872///GO:0005102///GO:0030215///GO:0030215///GO:0004888","extracellular space///extracellular space///integral component of plasma membrane///plasma membrane","GO:0005615///GO:0005615///GO:0005887///GO:0005886"
"203529_at","PPP6C","5537","protein phosphatase 6 catalytic subunit","COPII vesicle coating///G1/S transition of mitotic cell cycle///protein dephosphorylation","GO:0048208///GO:0000082///GO:0006470","metal ion binding///protein binding///protein serine/threonine phosphatase activity///protein serine/threonine phosphatase activity","GO:0046872///GO:0005515///GO:0004722///GO:0004722","Golgi membrane///cytosol///cytosol","GO:0000139///GO:0005829///GO:0005829"
"203530_s_at","STX4","6810","syntaxin 4","SNARE complex assembly///intracellular protein transport///long-term synaptic potentiation///organelle fusion///positive regulation of catalytic activity///positive regulation of cell adhesion///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of chemotaxis///positive regulation of eosinophil degranulation///positive regulation of establishment of protein localization to plasma membrane///positive regulation of immunoglobulin secretion///positive regulation of insulin secretion involved in cellular response to glucose stimulus///positive regulation of insulin secretion involved in cellular response to glucose stimulus///positive regulation of protein localization to cell surface///positive regulation of protein localization to plasma membrane///post-Golgi vesicle-mediated transport///regulation of exocytosis///regulation of extrinsic apoptotic signaling pathway via death domain receptors///response to hydroperoxide///synaptic vesicle fusion to presynaptic active zone membrane///vesicle docking","GO:0035493///GO:0006886///GO:0060291///GO:0048284///GO:0043085///GO:0045785///GO:0030335///GO:0008284///GO:0050921///GO:0043311///GO:0090004///GO:0051024///GO:0035774///GO:0035774///GO:2000010///GO:1903078///GO:0006892///GO:0017157///GO:1902041///GO:0033194///GO:0031629///GO:0048278","SNAP receptor activity///SNARE binding///myosin binding///protein binding///sphingomyelin phosphodiesterase activator activity","GO:0005484///GO:0000149///GO:0017022///GO:0005515///GO:0016230","SNARE complex///basolateral plasma membrane///cell surface///cytosol///dendritic spine///endosome///extracellular exosome///extracellular space///integral component of membrane///intracellular///lamellipodium///lateral loop///membrane///myelin sheath adaxonal region///perinuclear region of cytoplasm///plasma membrane///plasma membrane///somatodendritic compartment///specific granule///storage vacuole///synapse///synaptic vesicle///trans-Golgi network///vacuole","GO:0031201///GO:0016323///GO:0009986///GO:0005829///GO:0043197///GO:0005768///GO:0070062///GO:0005615///GO:0016021///GO:0005622///GO:0030027///GO:0043219///GO:0016020///GO:0035749///GO:0048471///GO:0005886///GO:0005886///GO:0036477///GO:0042581///GO:0000322///GO:0045202///GO:0008021///GO:0005802///GO:0005773"
"203531_at","CUL5","8065","cullin 5","ERBB2 signaling pathway///G1/S transition of mitotic cell cycle///calcium ion transmembrane transport///cell cycle arrest///cell proliferation///intrinsic apoptotic signaling pathway///negative regulation of cell proliferation///protein ubiquitination involved in ubiquitin-dependent protein catabolic process///viral process","GO:0038128///GO:0000082///GO:0070588///GO:0007050///GO:0008283///GO:0097193///GO:0008285///GO:0042787///GO:0016032","calcium channel activity///protein binding///receptor activity///contributes_to ubiquitin protein ligase activity///ubiquitin protein ligase binding///ubiquitin-protein transferase activity","GO:0005262///GO:0005515///GO:0004872///contributes_to GO:0061630///GO:0031625///GO:0004842","Cul5-RING ubiquitin ligase complex///cytosol","GO:0031466///GO:0005829"
"203534_at","LSM1","27257","LSM1 homolog, mRNA degradation associated","RNA splicing///RNA splicing, via transesterification reactions///deadenylation-dependent decapping of nuclear-transcribed mRNA///exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay///histone mRNA catabolic process///mRNA processing///negative regulation of neuron differentiation///stem cell population maintenance","GO:0008380///GO:0000375///GO:0000290///GO:0043928///GO:0071044///GO:0006397///GO:0045665///GO:0019827","RNA cap binding///mRNA binding///poly(A) RNA binding///pre-mRNA binding///protein binding","GO:0000339///GO:0003729///GO:0044822///GO:0036002///GO:0005515","axon///cytoplasm///cytoplasmic mRNA processing body///cytosol///dendrite///messenger ribonucleoprotein complex///neuronal cell body///nucleus","GO:0030424///GO:0005737///GO:0000932///GO:0005829///GO:0030425///GO:1990124///GO:0043025///GO:0005634"
"203535_at","S100A9","6280","S100 calcium binding protein A9","actin cytoskeleton reorganization///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///astrocyte development///autophagy///cell-cell signaling///cellular oxidant detoxification///chemokine production///cytokine production///defense response to bacterium///defense response to fungus///inflammatory response///innate immune response///leukocyte migration involved in inflammatory response///neutrophil aggregation///neutrophil chemotaxis///peptidyl-cysteine S-trans-nitrosylation///positive regulation of NF-kappaB transcription factor activity///positive regulation of blood coagulation///positive regulation of cell growth///positive regulation of inflammatory response///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of peptide secretion///regulation of cytoskeleton organization///regulation of integrin biosynthetic process///regulation of translation///sequestering of zinc ion///signal transduction","GO:0031532///GO:0006919///GO:0006915///GO:0014002///GO:0006914///GO:0007267///GO:0098869///GO:0032602///GO:0001816///GO:0042742///GO:0050832///GO:0006954///GO:0045087///GO:0002523///GO:0070488///GO:0030593///GO:0035606///GO:0051092///GO:0030194///GO:0030307///GO:0050729///GO:2001244///GO:0002793///GO:0051493///GO:0045113///GO:0006417///GO:0032119///GO:0007165","RAGE receptor binding///Toll-like receptor 4 binding///antioxidant activity///arachidonic acid binding///calcium ion binding///microtubule binding///protein binding///signal transducer activity///zinc ion binding","GO:0050786///GO:0035662///GO:0016209///GO:0050544///GO:0005509///GO:0008017///GO:0005515///GO:0004871///GO:0008270","cytoskeleton///cytosol///extracellular exosome///extracellular matrix///extracellular region///extracellular space///nucleus///plasma membrane","GO:0005856///GO:0005829///GO:0070062///GO:0031012///GO:0005576///GO:0005615///GO:0005634///GO:0005886"
