"ProbeID","GeneSymbol","EntrezID","GeneTitle","GOProcess","GOProcessID","GOFunction","GOFunctionID","GOComponent","GOComponentID"
"213267_at","DOPEY1","23033","dopey family member 1","protein transport","GO:0015031","","","",""
"213269_at","ZNF248","57209","zinc finger protein 248","regulation of transcription, DNA-templated///transcription, DNA-templated","GO:0006355///GO:0006351","DNA binding///metal ion binding","GO:0003677///GO:0046872","nucleus","GO:0005634"
"213270_at","MPP2","4355","membrane palmitoylated protein 2","GDP metabolic process///GMP metabolic process///signal transduction","GO:0046710///GO:0046037///GO:0007165","guanylate kinase activity","GO:0004385","integral component of plasma membrane///membrane","GO:0005887///GO:0016020"
"213271_s_at","DOPEY1","23033","dopey family member 1","protein transport","GO:0015031","","","",""
"213272_s_at","TMEM159","57146","transmembrane protein 159","","","protein binding","GO:0005515","integral component of membrane","GO:0016021"
"213273_at","TENM4","26011","teneurin transmembrane protein 4","cardiac cell fate specification///cardiac muscle cell proliferation///central nervous system myelin formation///central nervous system myelin formation///gastrulation with mouth forming second///neuron development///positive regulation of gastrulation///positive regulation of myelination///positive regulation of oligodendrocyte differentiation///regulation of myelination///self proteolysis///signal transduction","GO:0060912///GO:0060038///GO:0032289///GO:0032289///GO:0001702///GO:0048666///GO:2000543///GO:0031643///GO:0048714///GO:0031641///GO:0097264///GO:0007165","protein homodimerization activity","GO:0042803","cytoplasm///integral component of plasma membrane///neuron projection///nucleus///plasma membrane","GO:0005737///GO:0005887///GO:0043005///GO:0005634///GO:0005886"
"213276_at","CAMK2B","816","calcium/calmodulin dependent protein kinase II beta","MAPK cascade///cell projection morphogenesis///interferon-gamma-mediated signaling pathway///positive regulation of GTPase activity///positive regulation of dendritic spine morphogenesis///positive regulation of neuron projection development///positive regulation of phospholipase A2 activity///positive regulation of synapse maturation///protein autophosphorylation///protein phosphorylation///regulation of calcium ion transport///regulation of cellular response to heat///regulation of dendritic spine development///regulation of long-term neuronal synaptic plasticity///regulation of skeletal muscle adaptation///regulation of synapse structural plasticity///signal transduction","GO:0000165///GO:0048858///GO:0060333///GO:0043547///GO:0061003///GO:0010976///GO:0032430///GO:0090129///GO:0046777///GO:0006468///GO:0051924///GO:1900034///GO:0060998///GO:0048169///GO:0014733///GO:0051823///GO:0007165","ATP binding///Ras guanyl-nucleotide exchange factor activity///actin binding///calmodulin binding///calmodulin-dependent protein kinase activity///phospholipase binding///protein binding///protein homodimerization activity///protein kinase binding///protein serine/threonine kinase activity","GO:0005524///GO:0005088///GO:0003779///GO:0005516///GO:0004683///GO:0043274///GO:0005515///GO:0042803///GO:0019901///GO:0004674","cytosol///dendrite///endocytic vesicle membrane///microtubule organizing center///nucleoplasm///perikaryon///plasma membrane///postsynaptic density///sarcoplasmic reticulum membrane","GO:0005829///GO:0030425///GO:0030666///GO:0005815///GO:0005654///GO:0043204///GO:0005886///GO:0014069///GO:0033017"
"213278_at","MTMR9","66036","myotubularin related protein 9","regulation of catalytic activity","GO:0050790","enzyme regulator activity///protein binding","GO:0030234///GO:0005515","cytoplasm","GO:0005737"
"213279_at","DHRS1","115817","dehydrogenase/reductase 1","oxidation-reduction process","GO:0055114","oxidoreductase activity///protein binding","GO:0016491///GO:0005515","endoplasmic reticulum///mitochondrial inner membrane","GO:0005783///GO:0005743"
"213280_at","RAP1GAP2","23108","RAP1 GTPase activating protein 2","negative regulation of neuron projection development///positive regulation of GTPase activity///regulation of cell size///regulation of cell size///regulation of small GTPase mediated signal transduction","GO:0010977///GO:0043547///GO:0008361///GO:0008361///GO:0051056","GTPase activator activity///protein binding","GO:0005096///GO:0005515","centrosome///cytoplasm///cytosol///neuron projection///nuclear membrane///perinuclear region of cytoplasm///plasma membrane","GO:0005813///GO:0005737///GO:0005829///GO:0043005///GO:0031965///GO:0048471///GO:0005886"
"213282_at","APOOL","139322","apolipoprotein O like","cristae formation","GO:0042407","protein binding","GO:0005515","MICOS complex///mitochondrion","GO:0061617///GO:0005739"
"213283_s_at","SALL2","6297","spalt like transcription factor 2","eye development///negative regulation of transcription from RNA polymerase II promoter///neural tube development///signal transduction///transcription from RNA polymerase II promoter","GO:0001654///GO:0000122///GO:0021915///GO:0007165///GO:0006366","metal ion binding///protein binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcription regulatory region DNA binding","GO:0046872///GO:0005515///GO:0043565///GO:0003700///GO:0044212","NuRD complex///nucleus","GO:0016581///GO:0005634"
"213285_at","TMEM30B","161291","transmembrane protein 30B","lipid transport///positive regulation of protein exit from endoplasmic reticulum","GO:0006869///GO:0070863","protein binding","GO:0005515","integral component of membrane///plasma membrane","GO:0016021///GO:0005886"
"213293_s_at","TRIM22","10346","tripartite motif containing 22","defense response to virus///immune response///interferon-gamma-mediated signaling pathway///negative regulation of nucleic acid-templated transcription///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of NF-kappaB transcription factor activity///positive regulation of autophagy///positive regulation of sequence-specific DNA binding transcription factor activity///protein trimerization///protein ubiquitination///regulation of protein localization///regulation of transcription, DNA-templated///response to virus///transcription, DNA-templated","GO:0051607///GO:0006955///GO:0060333///GO:1903507///GO:0043123///GO:0051092///GO:0010508///GO:0051091///GO:0070206///GO:0016567///GO:0032880///GO:0006355///GO:0009615///GO:0006351","ligase activity///protein binding///protein binding, bridging///protein kinase binding///transcription corepressor activity///transcription factor activity, sequence-specific DNA binding///zinc ion binding","GO:0016874///GO:0005515///GO:0030674///GO:0019901///GO:0003714///GO:0003700///GO:0008270","Cajal body///cytoplasm///cytosol///nuclear speck///nucleoplasm///nucleus","GO:0015030///GO:0005737///GO:0005829///GO:0016607///GO:0005654///GO:0005634"
"213294_at","EIF2AK2","5610","eukaryotic translation initiation factor 2 alpha kinase 2","activation of MAPKK activity///cellular response to amino acid starvation///defense response to virus///endoplasmic reticulum unfolded protein response///evasion or tolerance by virus of host immune response///innate immune response///negative regulation of apoptotic process///negative regulation of cell proliferation///negative regulation of osteoblast proliferation///negative regulation of translation///negative regulation of translation///negative regulation of viral genome replication///peptidyl-tyrosine phosphorylation///positive regulation of NF-kappaB transcription factor activity///positive regulation of NIK/NF-kappaB signaling///positive regulation of apoptotic process///positive regulation of chemokine production///positive regulation of cytokine production///positive regulation of stress-activated MAPK cascade///protein autophosphorylation///protein autophosphorylation///protein phosphorylation///regulation of NLRP3 inflammasome complex assembly///regulation of hematopoietic progenitor cell differentiation///regulation of hematopoietic stem cell differentiation///regulation of hematopoietic stem cell proliferation///regulation of protein phosphatase type 2A activity///regulation of translational initiation by eIF2 alpha phosphorylation///response to exogenous dsRNA///response to interferon-alpha///response to lipopolysaccharide///response to mechanical stimulus///response to toxic substance///response to virus///response to vitamin E///transcription, DNA-templated///translation","GO:0000186///GO:0034198///GO:0051607///GO:0030968///GO:0030683///GO:0045087///GO:0043066///GO:0008285///GO:0033689///GO:0017148///GO:0017148///GO:0045071///GO:0018108///GO:0051092///GO:1901224///GO:0043065///GO:0032722///GO:0001819///GO:0032874///GO:0046777///GO:0046777///GO:0006468///GO:1900225///GO:1901532///GO:1902036///GO:1902033///GO:0034047///GO:0010998///GO:0043330///GO:0035455///GO:0032496///GO:0009612///GO:0009636///GO:0009615///GO:0033197///GO:0006351///GO:0006412","ATP binding///double-stranded RNA binding///eukaryotic translation initiation factor 2alpha kinase activity///non-membrane spanning protein tyrosine kinase activity///poly(A) RNA binding///protein binding///protein kinase activity///protein kinase activity///protein phosphatase type 2A regulator activity///protein serine/threonine kinase activity","GO:0005524///GO:0003725///GO:0004694///GO:0004715///GO:0044822///GO:0005515///GO:0004672///GO:0004672///GO:0008601///GO:0004674","cytoplasm///cytosol///membrane///nucleus///perinuclear region of cytoplasm///ribosome","GO:0005737///GO:0005829///GO:0016020///GO:0005634///GO:0048471///GO:0005840"
"213295_at","CYLD","1540","CYLD lysine 63 deubiquitinase","Wnt signaling pathway///cell cycle///necroptotic process///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of T cell differentiation///negative regulation of canonical Wnt signaling pathway///negative regulation of type I interferon production///nucleotide-binding oligomerization domain containing signaling pathway///positive regulation of extrinsic apoptotic signaling pathway///protein K63-linked deubiquitination///regulation of cilium assembly///regulation of intrinsic apoptotic signaling pathway///regulation of microtubule cytoskeleton organization///regulation of mitotic cell cycle///regulation of tumor necrosis factor-mediated signaling pathway///ripoptosome assembly involved in necroptotic process///ubiquitin-dependent protein catabolic process","GO:0016055///GO:0007049///GO:0070266///GO:0042347///GO:0032088///GO:0045581///GO:0090090///GO:0032480///GO:0070423///GO:2001238///GO:0070536///GO:1902017///GO:2001242///GO:0070507///GO:0007346///GO:0010803///GO:1901026///GO:0006511","Lys63-specific deubiquitinase activity///proline-rich region binding///protein binding///protein kinase binding///thiol-dependent ubiquitin-specific protease activity///zinc ion binding","GO:0061578///GO:0070064///GO:0005515///GO:0019901///GO:0004843///GO:0008270","centrosome///ciliary basal body///ciliary tip///colocalizes_with cytoplasmic microtubule///cytosol///cytosol///extrinsic component of cytoplasmic side of plasma membrane///colocalizes_with midbody///perinuclear region of cytoplasm///spindle","GO:0005813///GO:0036064///GO:0097542///colocalizes_with GO:0005881///GO:0005829///GO:0005829///GO:0031234///colocalizes_with GO:0030496///GO:0048471///GO:0005819"
"213300_at","ATG2A","23130","autophagy related 2A","autophagosome assembly///mitophagy///nucleophagy","GO:0000045///GO:0000422///GO:0044804","protein binding","GO:0005515","extrinsic component of membrane///lipid particle///pre-autophagosomal structure///pre-autophagosomal structure membrane","GO:0019898///GO:0005811///GO:0000407///GO:0034045"
"213301_x_at","TRIM24","8805","tripartite motif containing 24","calcium ion homeostasis///cellular response to estrogen stimulus///negative regulation of cell proliferation///negative regulation of transcription, DNA-templated///peptidyl-tyrosine phosphorylation///positive regulation of transcription, DNA-templated///protein autophosphorylation///protein catabolic process///protein ubiquitination///protein ubiquitination///regulation of apoptotic process///regulation of protein stability///regulation of signal transduction by p53 class mediator///regulation of vitamin D receptor signaling pathway///transcription from RNA polymerase II promoter","GO:0055074///GO:0071391///GO:0008285///GO:0045892///GO:0018108///GO:0045893///GO:0046777///GO:0030163///GO:0016567///GO:0016567///GO:0042981///GO:0031647///GO:1901796///GO:0070562///GO:0006366","chromatin binding///estrogen response element binding///ligand-dependent nuclear receptor binding///ligase activity///lysine-acetylated histone binding///NOT methylated histone binding///p53 binding///protein binding///protein tyrosine kinase activity///receptor binding///sequence-specific DNA binding///transcription coactivator activity///ubiquitin protein ligase activity///ubiquitin-protein transferase activity///zinc ion binding","GO:0003682///GO:0034056///GO:0016922///GO:0016874///GO:0070577///NOT GO:0035064///GO:0002039///GO:0005515///GO:0004713///GO:0005102///GO:0043565///GO:0003713///GO:0061630///GO:0004842///GO:0008270","cytosol///nuclear euchromatin///nucleus///perichromatin fibrils","GO:0005829///GO:0005719///GO:0005634///GO:0005726"
"213302_at","PFAS","5198","phosphoribosylformylglycinamidine synthase","'de novo' IMP biosynthetic process///'de novo' IMP biosynthetic process///glutamine metabolic process///purine nucleotide biosynthetic process///purine ribonucleoside monophosphate biosynthetic process///response to drug///ribonucleoside monophosphate biosynthetic process","GO:0006189///GO:0006189///GO:0006541///GO:0006164///GO:0009168///GO:0042493///GO:0009156","ATP binding///metal ion binding///phosphoribosylformylglycinamidine synthase activity///phosphoribosylformylglycinamidine synthase activity","GO:0005524///GO:0046872///GO:0004642///GO:0004642","cytoplasm///cytosol///extracellular exosome","GO:0005737///GO:0005829///GO:0070062"
"213304_at","FAM179B","23116","family with sequence similarity 179 member B","","","","","",""
"213306_at","MPDZ","8777","multiple PDZ domain crumbs cell polarity complex component","cell adhesion///myelination///viral process","GO:0007155///GO:0042552///GO:0016032","protein C-terminus binding///protein binding","GO:0008022///GO:0005515","Schmidt-Lanterman incisure///apical plasma membrane///apicolateral plasma membrane///bicellular tight junction///cytoplasm///cytoplasmic vesicle///dendrite///postsynaptic density///postsynaptic membrane","GO:0043220///GO:0016324///GO:0016327///GO:0005923///GO:0005737///GO:0031410///GO:0030425///GO:0014069///GO:0045211"
"213308_at","SHANK2","22941","SH3 and multiple ankyrin repeat domains 2","adult behavior///learning///long term synaptic depression///long-term synaptic potentiation///social behavior///synapse assembly///vocalization behavior","GO:0030534///GO:0007612///GO:0060292///GO:0060291///GO:0035176///GO:0007416///GO:0071625","GKAP/Homer scaffold activity///SH3 domain binding///ionotropic glutamate receptor binding///protein binding","GO:0030160///GO:0017124///GO:0035255///GO:0005515","apical plasma membrane///brush border membrane///cell junction///cellular_component///ciliary membrane///dendritic spine///growth cone///colocalizes_with ionotropic glutamate receptor complex///colocalizes_with neurofilament///neuron projection///neuronal cell body///photoreceptor inner segment///photoreceptor outer segment///plasma membrane///postsynaptic density///colocalizes_with postsynaptic membrane","GO:0016324///GO:0031526///GO:0030054///GO:0005575///GO:0060170///GO:0043197///GO:0030426///colocalizes_with GO:0008328///colocalizes_with GO:0005883///GO:0043005///GO:0043025///GO:0001917///GO:0001750///GO:0005886///GO:0014069///colocalizes_with GO:0045211"
"213309_at","PLCL2","23228","phospholipase C like 2","B cell proliferation involved in immune response///B-1a B cell differentiation///gamma-aminobutyric acid signaling pathway///intracellular signal transduction///lipid metabolic process///negative regulation of B cell receptor signaling pathway///positive regulation of receptor binding///regulation of peptidyl-serine phosphorylation///regulation of synaptic transmission, GABAergic","GO:0002322///GO:0002337///GO:0007214///GO:0035556///GO:0006629///GO:0050859///GO:1900122///GO:0033135///GO:0032228","GABA receptor binding///phosphatidylinositol phospholipase C activity///signal transducer activity","GO:0050811///GO:0004435///GO:0004871","cytoplasm","GO:0005737"
"213312_at","SMIM8","57150","small integral membrane protein 8","","","","","integral component of membrane","GO:0016021"
"213313_at","RABGAP1","23637","RAB GTPase activating protein 1","activation of GTPase activity///cell cycle///intracellular protein transport///NOT regulation of cilium assembly///regulation of vesicle fusion","GO:0090630///GO:0007049///GO:0006886///NOT GO:1902017///GO:0031338","DNA binding///GTPase activator activity///Rab GTPase binding///protein binding///tubulin binding","GO:0003677///GO:0005096///GO:0017137///GO:0005515///GO:0015631","centrosome///cytosol///endomembrane system///microtubule associated complex","GO:0005813///GO:0005829///GO:0012505///GO:0005875"
"213315_x_at","CXorf40A","91966","chromosome X open reading frame 40A","","","protein binding","GO:0005515","",""
"213316_at","KIAA1462","57608","KIAA1462","cell adhesion","GO:0007155","","","adherens junction///cell-cell junction","GO:0005912///GO:0005911"
"213317_at","CLIC5","53405","chloride intracellular channel 5","auditory receptor cell stereocilium organization///chloride transmembrane transport///chloride transport///diet induced thermogenesis///female pregnancy///NOT glutathione metabolic process///neuromuscular process controlling balance///protein localization///regulation of ion transmembrane transport///sensory perception of sound///transport","GO:0060088///GO:1902476///GO:0006821///GO:0002024///GO:0007565///NOT GO:0006749///GO:0050885///GO:0008104///GO:0034765///GO:0007605///GO:0006810","chloride channel activity///NOT glutathione transferase activity///protein binding///voltage-gated ion channel activity","GO:0005254///NOT GO:0004364///GO:0005515///GO:0005244","Golgi apparatus///actin cytoskeleton///cell cortex///chloride channel complex///extracellular exosome///microtubule organizing center///NOT nucleus///stereocilium","GO:0005794///GO:0015629///GO:0005938///GO:0034707///GO:0070062///GO:0005815///NOT GO:0005634///GO:0032420"
"213318_s_at","BAG6","7917","BCL2 associated athanogene 6","brain development///cell differentiation///covalent chromatin modification///embryo development///immune system process///internal peptidyl-lysine acetylation///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress///kidney development///lung development///maintenance of unfolded protein involved in ERAD pathway///negative regulation of apoptotic process///negative regulation of proteasomal ubiquitin-dependent protein catabolic process///negative regulation of proteolysis///positive regulation of ERAD pathway///protein localization to cytosolic proteasome complex involved in ERAD pathway///protein stabilization///regulation of cell proliferation///spermatogenesis///synaptonemal complex assembly///tail-anchored membrane protein insertion into ER membrane///transport///ubiquitin-dependent protein catabolic process","GO:0007420///GO:0030154///GO:0016569///GO:0009790///GO:0002376///GO:0018393///GO:0042771///GO:0070059///GO:0001822///GO:0030324///GO:1904378///GO:0043066///GO:0032435///GO:0045861///GO:1904294///GO:1904379///GO:0050821///GO:0042127///GO:0007283///GO:0007130///GO:0071816///GO:0006810///GO:0006511","Hsp70 protein binding///misfolded protein binding///polyubiquitin binding///proteasome binding///protein binding///ribosome binding///ubiquitin protein ligase binding///ubiquitin-specific protease binding","GO:0030544///GO:0051787///GO:0031593///GO:0070628///GO:0005515///GO:0043022///GO:0031625///GO:1990381","BAT3 complex///cytoplasm///cytosol///intracellular membrane-bounded organelle///membrane///nucleoplasm///nucleus","GO:0071818///GO:0005737///GO:0005829///GO:0043231///GO:0016020///GO:0005654///GO:0005634"
"213320_at","PRMT3","10196","protein arginine methyltransferase 3","histone arginine methylation///negative regulation of protein ubiquitination///peptidyl-arginine methylation, to asymmetrical-dimethyl arginine///regulation of transcription, DNA-templated","GO:0034969///GO:0031397///GO:0019919///GO:0006355","histone-arginine N-methyltransferase activity///metal ion binding///methyltransferase activity///protein binding///protein-arginine N-methyltransferase activity///protein-arginine omega-N asymmetric methyltransferase activity","GO:0008469///GO:0046872///GO:0008168///GO:0005515///GO:0016274///GO:0035242","cytoplasm///cytosol///ribosome","GO:0005737///GO:0005829///GO:0005840"
"213321_at","BCKDHB","594","branched chain keto acid dehydrogenase E1 subunit beta","branched-chain amino acid catabolic process///branched-chain amino acid catabolic process///glyoxylate metabolic process///oxidation-reduction process","GO:0009083///GO:0009083///GO:0046487///GO:0055114","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity///alpha-ketoacid dehydrogenase activity///carboxy-lyase activity///protein binding","GO:0003863///GO:0003826///GO:0016831///GO:0005515","mitochondrial alpha-ketoglutarate dehydrogenase complex///mitochondrial matrix///mitochondrion","GO:0005947///GO:0005759///GO:0005739"
"213322_at","OARD1","221443","O-acyl-ADP-ribose deacylase 1","purine nucleoside metabolic process","GO:0042278","deacetylase activity///protein binding///purine nucleoside binding","GO:0019213///GO:0005515///GO:0001883","",""
"213324_at","SRC","6714","SRC proto-oncogene, non-receptor tyrosine kinase","ERBB2 signaling pathway///Fc-gamma receptor signaling pathway involved in phagocytosis///T cell costimulation///activation of protein kinase B activity///adherens junction organization///angiotensin-activated signaling pathway involved in heart process///bone resorption///branching involved in mammary gland duct morphogenesis///cell cycle///cell proliferation///cellular response to fatty acid///cellular response to fluid shear stress///cellular response to hypoxia///cellular response to insulin stimulus///cellular response to lipopolysaccharide///cellular response to peptide hormone stimulus///cellular response to platelet-derived growth factor stimulus///cellular response to progesterone stimulus///cellular response to reactive oxygen species///central nervous system development///ephrin receptor signaling pathway///epidermal growth factor receptor signaling pathway///epidermal growth factor receptor signaling pathway///forebrain development///innate immune response///integrin-mediated signaling pathway///intracellular estrogen receptor signaling pathway///intracellular signal transduction///leukocyte migration///negative regulation of anoikis///negative regulation of apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of extrinsic apoptotic signaling pathway///negative regulation of focal adhesion assembly///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of mitochondrial depolarization///negative regulation of protein homooligomerization///negative regulation of telomerase activity///negative regulation of telomere maintenance via telomerase///negative regulation of transcription, DNA-templated///neurotrophin TRK receptor signaling pathway///oogenesis///osteoclast development///peptidyl-serine phosphorylation///peptidyl-tyrosine autophosphorylation///peptidyl-tyrosine phosphorylation///platelet activation///platelet-derived growth factor receptor signaling pathway///positive regulation of DNA biosynthetic process///positive regulation of ERK1 and ERK2 cascade///positive regulation of MAP kinase activity///positive regulation of apoptotic process///positive regulation of canonical Wnt signaling pathway///positive regulation of cyclin-dependent protein serine/threonine kinase activity///positive regulation of cytokine secretion///positive regulation of epithelial cell migration///positive regulation of glucose metabolic process///positive regulation of insulin receptor signaling pathway///positive regulation of integrin activation///positive regulation of lamellipodium morphogenesis///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of phosphatidylinositol 3-kinase activity///positive regulation of platelet-derived growth factor receptor signaling pathway///positive regulation of podosome assembly///positive regulation of protein autophosphorylation///positive regulation of protein kinase B signaling///positive regulation of protein serine/threonine kinase activity///positive regulation of small GTPase mediated signal transduction///positive regulation of smooth muscle cell migration///positive regulation of transcription, DNA-templated///progesterone receptor signaling pathway///progesterone receptor signaling pathway///protein autophosphorylation///protein destabilization///regulation of bone resorption///regulation of caveolin-mediated endocytosis///regulation of cell cycle///regulation of cell projection assembly///regulation of cell proliferation///regulation of cell-cell adhesion///regulation of early endosome to late endosome transport///regulation of epithelial cell migration///regulation of intracellular estrogen receptor signaling pathway///regulation of podosome assembly///regulation of protein binding///regulation of vascular permeability///response to acidic pH///response to drug///response to electrical stimulus///response to hydrogen peroxide///response to interleukin-1///response to mechanical stimulus///response to mineralocorticoid///response to nutrient levels///response to virus///signal complex assembly///signal transduction///single organismal cell-cell adhesion///stimulatory C-type lectin receptor signaling pathway///stress fiber assembly///substrate adhesion-dependent cell spreading///transcytosis///transforming growth factor beta receptor signaling pathway///uterus development///vascular endothelial growth factor receptor signaling pathway","GO:0038128///GO:0038096///GO:0031295///GO:0032148///GO:0034332///GO:0086098///GO:0045453///GO:0060444///GO:0007049///GO:0008283///GO:0071398///GO:0071498///GO:0071456///GO:0032869///GO:0071222///GO:0071375///GO:0036120///GO:0071393///GO:0034614///GO:0007417///GO:0048013///GO:0007173///GO:0007173///GO:0030900///GO:0045087///GO:0007229///GO:0030520///GO:0035556///GO:0050900///GO:2000811///GO:0043066///GO:0043154///GO:2001237///GO:0051895///GO:2001243///GO:0051902///GO:0032463///GO:0051974///GO:0032211///GO:0045892///GO:0048011///GO:0048477///GO:0036035///GO:0018105///GO:0038083///GO:0018108///GO:0030168///GO:0048008///GO:2000573///GO:0070374///GO:0043406///GO:0043065///GO:0090263///GO:0045737///GO:0050715///GO:0010634///GO:0010907///GO:0046628///GO:0033625///GO:2000394///GO:0050731///GO:0043552///GO:0010641///GO:0071803///GO:0031954///GO:0051897///GO:0071902///GO:0051057///GO:0014911///GO:0045893///GO:0050847///GO:0050847///GO:0046777///GO:0031648///GO:0045124///GO:2001286///GO:0051726///GO:0060491///GO:0042127///GO:0022407///GO:2000641///GO:0010632///GO:0033146///GO:0071801///GO:0043393///GO:0043114///GO:0010447///GO:0042493///GO:0051602///GO:0042542///GO:0070555///GO:0009612///GO:0051385///GO:0031667///GO:0009615///GO:0007172///GO:0007165///GO:0016337///GO:0002223///GO:0043149///GO:0034446///GO:0045056///GO:0007179///GO:0060065///GO:0048010","ATP binding///SH2 domain binding///SH3/SH2 adaptor activity///cadherin binding involved in cell-cell adhesion///enzyme binding///ephrin receptor binding///estrogen receptor binding///growth factor receptor binding///heme binding///hormone receptor binding///insulin receptor binding///integrin binding///ion channel binding///kinase activity///kinase binding///non-membrane spanning protein tyrosine kinase activity///phosphoprotein binding///protein C-terminus binding///protein binding///protein kinase C binding///protein kinase activity///protein kinase activity///protein tyrosine kinase activity///protein tyrosine kinase activity///protein tyrosine kinase activity///receptor binding///scaffold protein binding","GO:0005524///GO:0042169///GO:0005070///GO:0098641///GO:0019899///GO:0046875///GO:0030331///GO:0070851///GO:0020037///GO:0051427///GO:0005158///GO:0005178///GO:0044325///GO:0016301///GO:0019900///GO:0004715///GO:0051219///GO:0008022///GO:0005515///GO:0005080///GO:0004672///GO:0004672///GO:0004713///GO:0004713///GO:0004713///GO:0005102///GO:0097110","actin filament///caveola///cell-cell adherens junction///cytoplasm///cytosol///cytosol///extracellular exosome///extrinsic component of cytoplasmic side of plasma membrane///late endosome///lysosome///mitochondrial inner membrane///mitochondrion///neuron projection///nucleus///perinuclear region of cytoplasm///plasma membrane///plasma membrane///postsynaptic density///ruffle membrane","GO:0005884///GO:0005901///GO:0005913///GO:0005737///GO:0005829///GO:0005829///GO:0070062///GO:0031234///GO:0005770///GO:0005764///GO:0005743///GO:0005739///GO:0043005///GO:0005634///GO:0048471///GO:0005886///GO:0005886///GO:0014069///GO:0032587"
"213325_at","NECTIN3","25945","nectin cell adhesion molecule 3","adherens junction organization///cell recognition///fertilization///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///homophilic cell adhesion via plasma membrane adhesion molecules///homophilic cell adhesion via plasma membrane adhesion molecules///lens morphogenesis in camera-type eye///retina morphogenesis in camera-type eye///single organismal cell-cell adhesion///spermatid development","GO:0034332///GO:0008037///GO:0009566///GO:0007157///GO:0007156///GO:0007156///GO:0002089///GO:0060042///GO:0016337///GO:0007286","cell adhesion molecule binding///protein binding///protein heterodimerization activity///protein homodimerization activity///protein homodimerization activity///receptor activity///receptor binding","GO:0050839///GO:0005515///GO:0046982///GO:0042803///GO:0042803///GO:0004872///GO:0005102","apical junction complex///cell-cell adherens junction///integral component of plasma membrane///plasma membrane///plasma membrane///postsynaptic membrane","GO:0043296///GO:0005913///GO:0005887///GO:0005886///GO:0005886///GO:0045211"
"213326_at","VAMP1","6843","vesicle associated membrane protein 1","SNARE complex assembly///exocytosis///vesicle fusion","GO:0035493///GO:0006887///GO:0006906","SNAP receptor activity///SNARE binding///protein binding","GO:0005484///GO:0000149///GO:0005515","SNARE complex///NOT azurophil granule membrane///cell junction///cell surface///NOT cytosol///cytosol///integral component of plasma membrane///mitochondrial outer membrane///specific granule membrane///synaptic vesicle membrane///terminal bouton///tertiary granule membrane","GO:0031201///NOT GO:0035577///GO:0030054///GO:0009986///NOT GO:0005829///GO:0005829///GO:0005887///GO:0005741///GO:0035579///GO:0030672///GO:0043195///GO:0070821"
"213327_s_at","USP12","219333","ubiquitin specific peptidase 12","protein deubiquitination///ubiquitin-dependent protein catabolic process","GO:0016579///GO:0006511","cysteine-type endopeptidase activity///protein binding///thiol-dependent ubiquitin-specific protease activity","GO:0004197///GO:0005515///GO:0004843","cellular_component","GO:0005575"
"213329_at","SRGAP2C","653464","SLIT-ROBO Rho GTPase activating protein 2C","extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration///negative regulation of cell migration///negative regulation of dendritic spine development///negative regulation of filopodium assembly///positive regulation of GTPase activity///positive regulation of neuron migration///nervous system development///actin filament severing///NOT cell proliferation///dendritic spine development///extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration///filopodium assembly///lamellipodium assembly involved in ameboidal cell migration///NOT negative regulation of cell death///negative regulation of neuron migration///neuron projection morphogenesis///positive regulation of GTPase activity///positive regulation of GTPase activity///regulation of small GTPase mediated signal transduction///signal transduction///substrate adhesion-dependent cell spreading","GO:0021816///GO:0030336///GO:0061000///GO:0051490///GO:0043547///GO:2001224///GO:0007399///GO:0051014///NOT GO:0008283///GO:0060996///GO:0021816///GO:0046847///GO:0003363///NOT GO:0060548///GO:2001223///GO:0048812///GO:0043547///GO:0043547///GO:0051056///GO:0007165///GO:0034446","GTPase activator activity///Rac GTPase binding///protein heterodimerization activity///protein homodimerization activity///GTPase activator activity///GTPase activator activity///GTPase activator activity///Rac GTPase binding///protein binding///protein homodimerization activity","GO:0005096///GO:0048365///GO:0046982///GO:0042803///GO:0005096///GO:0005096///GO:0005096///GO:0048365///GO:0005515///GO:0042803","cytoplasm///cell junction///cytoplasm///cytosol///cytosol///dendritic spine head///lamellipodium///nucleus///phagocytic vesicle///plasma membrane///postsynaptic density///postsynaptic membrane","GO:0005737///GO:0030054///GO:0005737///GO:0005829///GO:0005829///GO:0044327///GO:0030027///GO:0005634///GO:0045335///GO:0005886///GO:0014069///GO:0045211"
"213330_s_at","STIP1","10963","stress induced phosphoprotein 1","response to stress","GO:0006950","Hsp70 protein binding///chaperone binding///poly(A) RNA binding///protein C-terminus binding///protein binding","GO:0030544///GO:0051087///GO:0044822///GO:0008022///GO:0005515","Golgi apparatus///myelin sheath///nucleus///protein complex","GO:0005794///GO:0043209///GO:0005634///GO:0043234"
