"From","To","Correlation","P.Value","adj.P.Val"
"KCNH3","LY86-AS1",0.886745393204808,1.00928047229179e-44,1.92964814107216e-42
"CAMK2A","GABRA4",0.886287944078594,1.28686349393027e-44,2.4409875251008e-42
"LMO7","VIP",0.885778584594542,1.68459856709134e-44,3.17046714697112e-42
"ANKRD34C","CTXN3",0.885718780132821,1.73857253828303e-44,3.24668313544483e-42
"BSN","CPLX2",0.885415150002946,2.03991644585741e-44,3.78012209082346e-42
"DCTN1-AS1","TMEM191A",0.885173998022701,2.31530308989569e-44,4.25768331569368e-42
"SLC32A1","CCKBR",0.882809071312004,7.89763466628603e-44,1.4413183265972e-41
"KCNH3","MCHR2",0.882537880912656,9.07548047119671e-44,1.64382198910623e-41
"SDR16C5","PHF24",0.882227104864739,1.06382943393521e-43,1.91251127339546e-41
"GPR26","LINC00507",0.8818444475036,1.29290804053277e-43,2.30712257010626e-41
"CNNM1","SDR16C5",0.88181456868463,1.31270922720228e-43,2.32523274141933e-41
"CNNM1","ANKRD34A",0.881215371192761,1.77897354088013e-43,3.12813668611695e-41
"LINC00507","KCNH3",0.881146397099167,1.84212257377603e-43,3.21570527552642e-41
"CCKBR","LY86-AS1",0.880986099278441,1.99751043204256e-43,3.46187239625217e-41
"CREG2","LINC00507",0.880868064289323,2.12009072820398e-43,3.64807040303099e-41
"TMEM191A","ICAM5",0.880775562823413,2.22129096042908e-43,3.79509923664799e-41
"CAMK2A","STYK1",0.879888584612757,3.46688522123419e-43,5.88149753376984e-41
"CREG2","LY86-AS1",0.879782636563147,3.65536474490357e-43,6.15788368564524e-41
"LMO7","CDH9",0.879720227988944,3.77106090164428e-43,6.30867063337574e-41
"CREG2","SLC26A4-AS1",0.8795538450778,4.09737521333132e-43,6.80729440614838e-41
"STYK1","RASAL1",0.879320054464005,4.60320142812659e-43,7.59528235640887e-41
"DCTN1-AS1","MCHR2",0.879227197674566,4.82069882791005e-43,7.90004318124852e-41
"SDR16C5","GABRA4",0.878427773719846,7.16218112234813e-43,1.16579015700923e-40
"KCNV1","NECAB1",0.87841088483825,7.22211814471924e-43,1.1676565510489e-40
"PRSS3","EGR4",0.878307510200331,7.59986814563792e-43,1.22053882418945e-40
"STYK1","ICAM5",0.878243721400193,7.84257570679152e-43,1.25117648196429e-40
"EGR4","CCKBR",0.8779467078893,9.07669078079e-43,1.43853605861336e-40
"GABRA4","CCKBR",0.877901008367631,9.28278695284272e-43,1.46158390649661e-40
"LINC01123","KCNH3",0.877759228876825,9.95187266914488e-43,1.55675722467338e-40
"CTXN3","LY86-AS1",0.877133163620788,1.35185466246167e-42,2.10104379475495e-40
"ANKRD34A","KCNJ9",0.876951115933646,1.47732095982227e-42,2.28132448218708e-40
"DCTN1-AS1","LINC01123",0.876913768729454,1.50443977032686e-42,2.3084047176544e-40
"STYK1","AKAP5",0.876810610809731,1.58191140719456e-42,2.41191429109601e-40
"CTXN3","NECAB1",0.876656694228538,1.70483913360834e-42,2.58299212129716e-40
"GPR26","CREG2",0.876642735516051,1.71644067224698e-42,2.58431598715185e-40
"ICAM5","VIP",0.876282919351317,2.04375843750084e-42,3.05802116517983e-40
"CTXN3","LINC00507",0.876089855920471,2.24390218965759e-42,3.33676566350934e-40
"GABRA4","LY86-AS1",0.875994599010455,2.34962315960284e-42,3.47254122176885e-40
"GPR22","RXFP1",0.87553351611734,2.93458400325974e-42,4.31061759991018e-40
"ANKRD34C","CNNM1",0.87533016062331,3.23598306465795e-42,4.7245352744006e-40
"TMEM191A","VIP",0.875197104368571,3.44943187260162e-42,5.00583215728753e-40
"ICAM5","RXFP1",0.874965519175484,3.85439221086338e-42,5.54398452706624e-40
"SDR16C5","CAMK2A",0.874959082241614,3.86629057927409e-42,5.54398452706624e-40
"PHF24","CTXN3",0.874626291314596,4.53313981101732e-42,6.46173597913653e-40
"GLS2","DCTN1-AS1",0.874609896337281,4.56876129999832e-42,6.47420351276232e-40
"CAMK2A","CTXN3",0.874537737761145,4.72883592898284e-42,6.66185131749687e-40
